,F1 score,accuracy score,model,time,features
2,1.0,1.0,Random Forest,0.046955108642578125,74
3,1.0,1.0,K-Nearest Neighbors,0.2266538143157959,74
4,1.0,1.0,SVM,1.5637860298156738,74
0,1.0,1.0,Logistic Regression,0.01717066764831543,75
1,1.0,1.0,Decision Tree,0.0061151981353759766,75
2,1.0,1.0,Random Forest,0.0477449893951416,75
3,1.0,1.0,K-Nearest Neighbors,0.2341170310974121,75
4,1.0,1.0,SVM,1.5968890190124512,75
0,1.0,1.0,Logistic Regression,0.01756882667541504,76
1,1.0,1.0,Decision Tree,0.006167173385620117,76
2,1.0,1.0,Random Forest,0.05250668525695801,76
3,1.0,1.0,K-Nearest Neighbors,0.23792505264282227,76
4,1.0,1.0,SVM,1.9783997535705566,76
0,1.0,1.0,Logistic Regression,0.020063161849975586,77
1,1.0,1.0,Decision Tree,0.013400793075561523,77
2,1.0,1.0,Random Forest,0.06894898414611816,77
3,1.0,1.0,K-Nearest Neighbors,0.3445007801055908,77
4,1.0,1.0,SVM,2.0192198753356934,77
0,1.0,1.0,Logistic Regression,0.016498088836669922,78
1,1.0,1.0,Decision Tree,0.006250143051147461,78
2,1.0,1.0,Random Forest,0.0535433292388916,78
3,1.0,1.0,K-Nearest Neighbors,0.304703950881958,78
4,1.0,1.0,SVM,2.086495876312256,78
0,1.0,1.0,Logistic Regression,0.017067909240722656,79
1,1.0,1.0,Decision Tree,0.00596308708190918,79
2,1.0,1.0,Random Forest,0.05079007148742676,79
3,1.0,1.0,K-Nearest Neighbors,0.2744879722595215,79
4,1.0,1.0,SVM,1.9301519393920898,79
0,1.0,1.0,Logistic Regression,0.017789125442504883,80
1,1.0,1.0,Decision Tree,0.006325244903564453,80
2,1.0,1.0,Random Forest,0.05048513412475586,80
3,1.0,1.0,K-Nearest Neighbors,0.3586881160736084,80
4,1.0,1.0,SVM,2.4093356132507324,80
0,1.0,1.0,Logistic Regression,0.018428802490234375,81
1,1.0,1.0,Decision Tree,0.006197929382324219,81
2,1.0,1.0,Random Forest,0.05011487007141113,81
3,1.0,1.0,K-Nearest Neighbors,0.2687079906463623,81
4,1.0,1.0,SVM,1.9085667133331299,81
0,1.0,1.0,Logistic Regression,0.01699995994567871,82
1,1.0,1.0,Decision Tree,0.005957126617431641,82
2,1.0,1.0,Random Forest,0.04893803596496582,82
3,1.0,1.0,K-Nearest Neighbors,0.2947399616241455,82
4,1.0,1.0,SVM,2.5362398624420166,82
0,1.0,1.0,Logistic Regression,0.01731419563293457,83
1,1.0,1.0,Decision Tree,0.0060198307037353516,83
2,1.0,1.0,Random Forest,0.05019402503967285,83
3,1.0,1.0,K-Nearest Neighbors,0.27666354179382324,83
4,1.0,1.0,SVM,2.3261499404907227,83
0,1.0,1.0,Logistic Regression,0.01853013038635254,84
1,1.0,1.0,Decision Tree,0.006433010101318359,84
2,1.0,1.0,Random Forest,0.04992485046386719,84
3,1.0,1.0,K-Nearest Neighbors,0.30283522605895996,84
4,1.0,1.0,SVM,2.1451926231384277,84
0,1.0,1.0,Logistic Regression,0.0214231014251709,85
1,1.0,1.0,Decision Tree,0.009762048721313477,85
2,1.0,1.0,Random Forest,0.06810641288757324,85
3,1.0,1.0,K-Nearest Neighbors,0.4158661365509033,85
4,1.0,1.0,SVM,2.724310874938965,85
